,Player,State,Total Points
0, GARY HUA ,ON,6.0
1, DAKSHESH DARURI ,MI,6.0
2, ADITYA BAJAJ ,MI,6.0
3, PATRICK H SCHILLING,MI,5.5
4, HANSHI ZUO ,MI,5.5
5, HANSEN SONG ,OH,5.0
6, GARY DEE SWATHELL,MI,5.0
7, EZEKIEL HOUGHTON ,MI,5.0
8, STEFANO LEE ,ON,5.0
9, ANVIT RAO ,MI,5.0
10, CAMERON WILLIAM MC,MI,4.5
11, KENNETH J TACK,MI,4.5
12, TORRANCE HENRY JR,MI,4.5
13, BRADLEY SHAW ,MI,4.5
14, ZACHARY JAMES HOUGHTON,MI,4.5
15, MIKE NIKITIN ,MI,4.0
16, RONALD GRZEGORCZYK ,MI,4.0
17, DAVID SUNDEEN ,MI,4.0
18, DIPANKAR ROY ,MI,4.0
19, JASON ZHENG ,MI,4.0
20, DINH DANG BUI,ON,4.0
21, EUGENE L MCCLURE,MI,4.0
22, ALAN BUI ,ON,4.0
23, MICHAEL R ALDRICH,MI,4.0
24, LOREN SCHWIEBERT ,MI,3.5
25, MAX ZHU ,ON,3.5
26, GAURAV GIDWANI ,MI,3.5
27, SOFIA ADINA STANESCU,MI,3.5
28, CHIEDOZIE OKORIE ,MI,3.5
29, GEORGE AVERY JONES,ON,3.5
30, RISHI SHETTY ,MI,3.5
31, JOSHUA PHILIP MATHEWS,ON,3.5
32, JADE GE ,MI,3.5
33, MICHAEL JEFFERY THOMAS,MI,3.5
34, JOSHUA DAVID LEE,MI,3.5
35, SIDDHARTH JHA ,MI,3.5
36, AMIYATOSH PWNANANDAM ,MI,3.5
37, BRIAN LIU ,MI,3.0
38, JOEL R HENDON,MI,3.0
39, FOREST ZHANG ,MI,3.0
40, KYLE WILLIAM MURPHY,MI,3.0
41, JARED GE ,MI,3.0
42, ROBERT GLEN VASEY,MI,3.0
43, JUSTIN D SCHILLING,MI,3.0
44, DEREK YAN ,MI,3.0
45, JACOB ALEXANDER LAVALLEY,MI,3.0
46, ERIC WRIGHT ,MI,2.5
47, DANIEL KHAIN ,MI,2.5
48, MICHAEL J MARTIN,MI,2.5
49, SHIVAM JHA ,MI,2.5
50, TEJAS AYYAGARI ,MI,2.5
51, ETHAN GUO ,MI,2.5
52, JOSE C YBARRA,MI,2.0
53, LARRY HODGE ,MI,2.0
54, ALEX KONG ,MI,2.0
55, MARISA RICCI ,MI,2.0
56, MICHAEL LU ,MI,2.0
57, VIRAJ MOHILE ,MI,2.0
58, SEAN M MC,MI,2.0
59, JULIA SHEN ,MI,1.5
60, JEZZEL FARKAS ,ON,1.5
61, ASHWIN BALAJI ,MI,1.0
62, THOMAS JOSEPH HOSMER,MI,1.0
63, BEN LI ,MI,1.0
